[Hoja: Sheet1]
A1=Error code | B1=Error Description
A134=346 | B134=Uart communication failure
A135=399 | B135=System error, please use _DMC_01_get_card_error_code to get error code
A136=901 | B136=Card No. repeat (All card No. should be unique)
A137=902 | B137=This card does not support this API
A138=903 | B138=This API failed to connect to its corresponding DLL (no DLL or this function is not included in DLL library)
A139=904 | B139=This API error should be gain by using  _DMC_01_get_cardtype_errorcode
A140=905 | B140=This axis card can not be found when using API.
A141=910 | B141=The merged version of PCI_DMC.dll is in use.
A142=911 | B142=Cannot find PCI_DMC_01.dll.
A143=912 | B143=Cannot find PCI_DMC_F01.dll.
A144=913 | B144=Cannot find PCI_DMC.dll.
A145=1001 | B145=File doesn't exist
A146=1002 | B146=Failed to read the file
A147=1003 | B147=Failed to write file
A148=1100 | B148=Value not existing
A149=1101 | B149=Value empty
A150=1102 | B150=Value is beyond limit
A151=1103 | B151=Value is beyond Min limit
A152=1104 | B152=Value is beyond Max limit
A153=1200 | B153=Failed to open serial port
A154=1201 | B154=Failed to read serial port
A155=1202 | B155=Failed to write serial port
A156=1203 | B156=Serial port is successfully opened
A157=1204 | B157=Barcode scanner serial port failed to open, scanning gun can not work normally
A158=1205 | B158=network connection failed
A159=1206 | B159=network data error
A160=1300 | B160=Failed to load configuration
A161=1301 | B161=Failed to get configuration
A162=2000 | B162=Machine error
A163=2001 | B163=Card number not existing
A164=2002 | B164=Station number not existing
A165=2003 | B165=Failed to connect Modbus
A166=2004 | B166=Read Modbus error
A167=2005 | B167=Write Modbus error
A168=2006 | B168=Power supply phase sequence failure
A169=2100 | B169=Gear ratio error
A170=2101 | B170=Direction error
A171=2102 | B171=Location error
A172=2103 | B172=Speed error
A173=2200 | B173=Beyond axis range
A174=2201 | B174=Beyond tool range
A175=2202 | B175=Beyond gripper range
A176=2203 | B176=Beyond the range of platen
A177=2204 | B177=Beyond the range of pressure roller
A178=2205 | B178=Beyond waiting signal range
A179=2300 | B179=Beyond drill head group
A180=2301 | B180=Beyond the machining range of drill head group
A181=2302 | B181=Beyond the face processed by drill head group
A182=2400 | B182=Drill head/Blower overload
A183=2401 | B183=Drill head overload
A184=2402 | B184=Upper drill head overload
A185=2403 | B185=Bottom drill head overload
A186=2404 | B186=The upper left drill bag overloaded
A187=2405 | B187=The upper right drill bag overloaded
A188=2406 | B188=Lower left drill bag overload
A189=2407 | B189=Lower right drill bag overload
A190=2500 | B190=Spindle overload
A191=2501 | B191=Upper spindle overload
A192=2502 | B192=Bottom spindle overload
A193=2600 | B193=Inverter error
A194=2601 | B194=Spindle inverter error
A195=2602 | B195=Upper spindle inverter error
A196=2603 | B196=Bottom spindle inverter error
A197=2700 | B197=Line-control EMG stop
A198=2701 | B198=Emergency stop
A199=2702 | B199=Control panel EMG stop
A200=2703 | B200=Main frame EMG stop
A201=2704 | B201=Front EMG Stop
A202=2705 | B202=Back EMG Stop
A203=2706 | B203=Conveyor EMG Stop
A204=2707 | B204=Safety EMG Stop
A205=2708 | B205=Touch screen emergency stop
A206=2709 | B206=Fence gate emergency stop
A207=2800 | B207=Fan overload
A208=2801 | B208=Lifting table inverter error
A209=2802 | B209=Outboard conveyor motor overload
A210=2803 | B210=The frequency converter of the discharging station is abnormal
A211=2804 | B211=Dust collection conveyor motor overload
A212=2900 | B212=Low pressure
A213=2901 | B213=Servo error
A214=2902 | B214=Side block inverter failure
A215=2903 | B215=Door open
A216=2904 | B216=Safety door is not closed
A217=2905 | B217=Safety guard is not closed
A218=2906 | B218=The machine did not return to origin, please home it.
